Agent Name,KD,Kills,Deaths,Assists,Pick Rate,ACS,First Blood,Num Matches,Label
3,0.96,15.0,15.7,6.7,0.05,206.0,0.111,306.0,1.0
7,1.08,13.6,12.6,3.6,0.042,205.0,0.088,255.0,1.0
12,0.63,9.8,15.5,4.5,0.033,147.0,0.179,204.0,0.0
11,0.84,14.3,17.0,6.0,0.025,180.0,0.047,153.0,1.0
2,0.78,16.0,20.5,10.5,0.017,201.0,0.125,102.0,1.0
1,0.66,10.5,16.0,5.0,0.017,171.0,0.143,102.0,0.0
10,0.97,14.0,14.3,4.6,0.179,196.0,0.1369999999999999,1071.0,1.0
9,1.15,17.4,15.2,4.3,0.171,241.0,0.146,1020.0,1.0
8,1.16,19.9,17.2,5.8,0.154,257.0,0.176,918.0,1.0
6,0.94,13.7,14.6,5.6,0.12,197.0,0.099,714.0,1.0
4,1.17,16.8,14.3,4.6,0.085,265.0,0.196,510.0,1.0
5,1.09,14.0,12.9,3.7,0.085,201.0,0.093,510.0,1.0
3,0.66,10.9,16.4,3.4,0.06,162.0,0.066,357.0,0.0
1,0.82,10.3,12.5,7.0,0.034,162.0,0.146,204.0,2.0
7,0.8,13.3,16.7,9.0,0.026,195.0,0.225,153.0,1.0
13,0.7,10.3,14.7,4.0,0.026,161.0,0.065,153.0,1.0
2,0.68,13.7,20.0,11.3,0.026,159.0,0.098,153.0,1.0
11,0.97,14.0,14.5,2.5,0.017,181.0,0.179,102.0,2.0
0,1.67,25.0,15.0,3.0,0.009,290.0,0.12,51.0,2.0
14,0.47,8.0,17.0,4.0,0.009,139.0,0.25,51.0,0.0
10,0.91,13.1,14.4,4.5,0.208,187.0,0.102,3366.0,1.0
9,1.03,14.9,14.5,4.6,0.132,231.0,0.185,2142.0,1.0
4,1.0,14.7,14.8,3.9,0.1009999999999999,222.0,0.174,1632.0,1.0
12,1.0,14.2,14.3,5.4,0.072,218.0,0.113,1173.0,1.0
6,0.91,13.1,14.4,4.0,0.069,185.0,0.135,1122.0,1.0
8,1.01,14.8,14.7,5.4,0.069,216.0,0.138,1122.0,1.0
5,1.01,12.8,12.6,3.3,0.057,186.0,0.096,918.0,1.0
3,0.76,11.5,15.2,3.8,0.057,162.0,0.072,918.0,0.0
2,0.83,12.4,14.8,6.7,0.053,192.0,0.11,867.0,0.0
7,1.2,18.1,15.1,4.2,0.053,262.0,0.159,867.0,1.0
11,1.16,15.8,13.6,4.3,0.0409999999999999,219.0,0.17,663.0,1.0
13,0.9,12.6,13.9,4.7,0.038,187.0,0.113,612.0,1.0
14,0.9,13.6,15.0,5.0,0.022,209.0,0.179,357.0,1.0
1,0.76,12.0,15.9,4.7,0.022,183.0,0.119,357.0,1.0
0,0.77,12.0,15.5,4.0,0.006,145.0,0.083,102.0,1.0
10,0.91,12.3,13.5,4.2,0.1689999999999999,183.0,0.106,6120.0,1.0
9,1.07,16.7,15.7,4.2,0.145,238.0,0.162,5253.0,1.0
4,1.01,15.1,15.0,4.2,0.124,227.0,0.185,4488.0,1.0
5,0.94,13.7,14.5,4.5,0.086,203.0,0.092,3111.0,1.0
8,0.98,16.3,16.6,5.5,0.081,235.0,0.129,2907.0,1.0
12,0.9,12.3,13.6,5.8,0.073,191.0,0.111,2652.0,1.0
6,1.04,15.4,14.8,5.0,0.068,222.0,0.111,2448.0,1.0
